tweet_id,favorites,retweets,user_followers,user_favourites,date_time
687704180304273409,2379,820,8877508,145871,2016-01-14 18:33:48+00:00
687664829264453632,1890,496,8877508,145871,2016-01-14 15:57:26+00:00
687494652870668288,1855,561,8877508,145871,2016-01-14 04:41:12+00:00
687480748861947905,1562,232,8877508,145871,2016-01-14 03:45:57+00:00
687476254459715584,1933,518,8877508,145871,2016-01-14 03:28:06+00:00
687460506001633280,2010,531,8877508,145871,2016-01-14 02:25:31+00:00
687399393394311168,1849,601,8877508,145871,2016-01-13 22:22:41+00:00
687317306314240000,19655,8899,8877508,145871,2016-01-13 16:56:30+00:00
687312378585812992,4253,1841,8877508,145871,2016-01-13 16:36:55+00:00
687127927494963200,5296,2209,8877508,145871,2016-01-13 04:23:58+00:00
687124485711986689,2127,492,8877508,145871,2016-01-13 04:10:18+00:00
687109925361856513,5658,2384,8877508,145871,2016-01-13 03:12:26+00:00
687102708889812993,2288,945,8877508,145871,2016-01-13 02:43:46+00:00
687096057537363968,2182,589,8877508,145871,2016-01-13 02:17:20+00:00
686947101016735744,8432,3094,8877508,145871,2016-01-12 16:25:26+00:00
686760001961103360,3432,1344,8877508,145871,2016-01-12 04:01:58+00:00
686749460672679938,3396,1411,8877508,145871,2016-01-12 03:20:05+00:00
686730991906516992,4039,1164,8877508,145871,2016-01-12 02:06:41+00:00
686683045143953408,2756,781,8877508,145871,2016-01-11 22:56:10+00:00
686618349602762752,3605,1323,8877508,145871,2016-01-11 18:39:05+00:00
686606069955735556,1843,526,8877508,145871,2016-01-11 17:50:18+00:00
686394059078897668,1698,669,8877508,145871,2016-01-11 03:47:50+00:00
686386521809772549,3180,855,8877508,145871,2016-01-11 03:17:53+00:00
686377065986265092,2148,552,8877508,145871,2016-01-11 02:40:19+00:00
686358356425093120,2127,648,8877508,145871,2016-01-11 01:25:58+00:00
686286779679375361,3916,1621,8877508,145871,2016-01-10 20:41:33+00:00
686050296934563840,2167,706,8877508,145871,2016-01-10 05:01:51+00:00
686035780142297088,1115,112,8877508,145871,2016-01-10 04:04:10+00:00
686034024800862208,2999,1110,8877508,145871,2016-01-10 03:57:12+00:00
686007916130873345,2422,398,8877508,145871,2016-01-10 02:13:27+00:00
686003207160610816,1782,606,8877508,145871,2016-01-10 01:54:44+00:00
685973236358713344,2041,507,8877508,145871,2016-01-09 23:55:38+00:00
685943807276412928,1584,577,8877508,145871,2016-01-09 21:58:42+00:00
685906723014619143,7309,2776,8877508,145871,2016-01-09 19:31:20+00:00
685681090388975616,1976,119,8877508,145871,2016-01-09 04:34:45+00:00
685667379192414208,2299,546,8877508,145871,2016-01-09 03:40:16+00:00
685663452032069632,3156,1414,8877508,145871,2016-01-09 03:24:40+00:00
685641971164143616,2855,754,8877508,145871,2016-01-09 01:59:19+00:00
685547936038666240,32081,15109,8877508,145871,2016-01-08 19:45:39+00:00
685532292383666176,2946,1124,8877508,145871,2016-01-08 18:43:29+00:00
685325112850124800,9199,3845,8877508,145871,2016-01-08 05:00:14+00:00
685321586178670592,2578,613,8877508,145871,2016-01-08 04:46:13+00:00
685315239903100929,3208,1009,8877508,145871,2016-01-08 04:21:00+00:00
685307451701334016,2023,424,8877508,145871,2016-01-08 03:50:03+00:00
685268753634967552,3017,1167,8877508,145871,2016-01-08 01:16:17+00:00
685198997565345792,2276,651,8877508,145871,2016-01-07 20:39:06+00:00
685169283572338688,4011,1392,8877508,145871,2016-01-07 18:41:01+00:00
684969860808454144,2332,357,8877508,145871,2016-01-07 05:28:35+00:00
684959798585110529,6642,3033,8877508,145871,2016-01-07 04:48:36+00:00
684940049151070208,3126,1011,8877508,145871,2016-01-07 03:30:07+00:00
684926975086034944,3401,451,8877508,145871,2016-01-07 02:38:10+00:00
684914660081053696,3412,1411,8877508,145871,2016-01-07 01:49:14+00:00
684902183876321280,1814,511,8877508,145871,2016-01-07 00:59:40+00:00
684880619965411328,2032,785,8877508,145871,2016-01-06 23:33:58+00:00
684830982659280897,34167,21036,8877508,145871,2016-01-06 20:16:44+00:00
684800227459624960,2667,977,8877508,145871,2016-01-06 18:14:31+00:00
684594889858887680,8678,3401,8877508,145871,2016-01-06 04:38:35+00:00
684588130326986752,4004,1371,8877508,145871,2016-01-06 04:11:43+00:00
684567543613382656,2929,1175,8877508,145871,2016-01-06 02:49:55+00:00
684538444857667585,2591,923,8877508,145871,2016-01-06 00:54:18+00:00
684481074559381504,3782,1138,8877508,145871,2016-01-05 21:06:19+00:00
684460069371654144,1925,542,8877508,145871,2016-01-05 19:42:51+00:00
684241637099323392,7914,3168,8877508,145871,2016-01-05 05:14:53+00:00
684225744407494656,1201,201,8877508,145871,2016-01-05 04:11:44+00:00
684222868335505415,3733,1322,8877508,145871,2016-01-05 04:00:18+00:00
684200372118904832,2102,1010,8877508,145871,2016-01-05 02:30:55+00:00
684195085588783105,1854,493,8877508,145871,2016-01-05 02:09:54+00:00
684188786104872960,3408,1129,8877508,145871,2016-01-05 01:44:52+00:00
684177701129875456,1969,645,8878188,145872,2016-01-05 01:00:50+00:00
684147889187209216,2922,1477,8877508,145871,2016-01-04 23:02:22+00:00
684122891630342144,1960,457,8877508,145871,2016-01-04 21:23:02+00:00
684097758874210310,4003,1395,8877508,145871,2016-01-04 19:43:10+00:00
683857920510050305,3712,1086,8877508,145871,2016-01-04 03:50:08+00:00
683852578183077888,1883,336,8877508,145871,2016-01-04 03:28:54+00:00
683849932751646720,2547,924,8877508,145871,2016-01-04 03:18:23+00:00
683834909291606017,2557,1083,8877508,145871,2016-01-04 02:18:42+00:00
683828599284170753,2726,1035,8877508,145871,2016-01-04 01:53:37+00:00
683773439333797890,3258,1300,8877508,145871,2016-01-03 22:14:26+00:00
683742671509258241,6299,3205,8877508,145871,2016-01-03 20:12:10+00:00
683515932363329536,7139,2794,8877508,145871,2016-01-03 05:11:12+00:00
683498322573824003,3088,939,8877508,145871,2016-01-03 04:01:13+00:00
683481228088049664,2599,970,8877508,145871,2016-01-03 02:53:17+00:00
683462770029932544,2360,653,8877508,145871,2016-01-03 01:39:57+00:00
683449695444799489,3774,1565,8877508,145871,2016-01-03 00:47:59+00:00
683391852557561860,7442,2332,8877508,145871,2016-01-02 20:58:09+00:00
683357973142474752,2828,892,8877508,145871,2016-01-02 18:43:31+00:00
683142553609318400,2800,1009,8877508,145871,2016-01-02 04:27:31+00:00
683111407806746624,3320,884,8877508,145871,2016-01-02 02:23:45+00:00
683098815881154561,2115,637,8877508,145871,2016-01-02 01:33:43+00:00
683078886620553216,1945,547,8877508,145871,2016-01-02 00:14:32+00:00
683030066213818368,2112,724,8877508,145871,2016-01-01 21:00:32+00:00
682962037429899265,35787,15952,8877508,145871,2016-01-01 16:30:13+00:00
682808988178739200,1731,162,8877508,145871,2016-01-01 06:22:03+00:00
682788441537560576,2413,1078,8877508,145871,2016-01-01 05:00:24+00:00
682750546109968385,1483,424,8878188,145872,2016-01-01 02:29:49+00:00
682697186228989953,1283,353,8877508,145871,2015-12-31 22:57:47+00:00
682662431982772225,2983,1041,8877508,145871,2015-12-31 20:39:41+00:00
682638830361513985,2016,577,8877508,145871,2015-12-31 19:05:54+00:00
682429480204398592,3345,1118,8878188,145872,2015-12-31 05:14:01+00:00
682406705142087680,7367,1702,8877508,145871,2015-12-31 03:43:31+00:00
682393905736888321,2178,647,8877508,145871,2015-12-31 02:52:40+00:00
682389078323662849,1617,450,8877508,145871,2015-12-31 02:33:29+00:00
682303737705140231,2972,946,8877508,145871,2015-12-30 20:54:22+00:00
682259524040966145,4024,1157,8877508,145871,2015-12-30 17:58:40+00:00
682242692827447297,3142,1116,8877508,145871,2015-12-30 16:51:48+00:00
682088079302213632,17744,9531,8877508,145871,2015-12-30 06:37:25+00:00
682059653698686977,4812,1618,8877508,145871,2015-12-30 04:44:28+00:00
682047327939461121,3106,913,8877508,145871,2015-12-30 03:55:29+00:00
682032003584274432,6416,1932,8877507,145871,2015-12-30 02:54:35+00:00
682003177596559360,3036,1467,8877507,145871,2015-12-30 01:00:03+00:00
681981167097122816,2735,1003,8877507,145871,2015-12-29 23:32:35+00:00
681891461017812993,2404,786,8877507,145871,2015-12-29 17:36:07+00:00
681694085539872773,12478,3936,8877507,145871,2015-12-29 04:31:49+00:00
681679526984871937,1713,428,8877507,145871,2015-12-29 03:33:58+00:00
681654059175129088,2564,891,8877507,145871,2015-12-29 01:52:46+00:00
681610798867845120,1842,449,8877507,145871,2015-12-28 23:00:52+00:00
681579835668455424,3445,1257,8877507,145871,2015-12-28 20:57:50+00:00
681523177663676416,13890,5567,8877507,145871,2015-12-28 17:12:42+00:00
681340665377193984,1603,270,8877507,145871,2015-12-28 05:07:27+00:00
681339448655802368,9050,3955,8877507,145871,2015-12-28 05:02:37+00:00
681320187870711809,2565,716,8878187,145872,2015-12-28 03:46:05+00:00
681302363064414209,3820,1755,8877507,145871,2015-12-28 02:35:15+00:00
681297372102656000,3121,919,8877507,145871,2015-12-28 02:15:26+00:00
681281657291280384,3146,1065,8877507,145871,2015-12-28 01:12:59+00:00
681261549936340994,1419,263,8877507,145871,2015-12-27 23:53:05+00:00
681242418453299201,1443,512,8877507,145871,2015-12-27 22:37:04+00:00
681231109724700672,2343,467,8877507,145871,2015-12-27 21:52:07+00:00
681193455364796417,3596,1427,8877507,145871,2015-12-27 19:22:30+00:00
680970795137544192,2347,636,8877507,145871,2015-12-27 04:37:44+00:00
680959110691590145,4457,1940,8877507,145871,2015-12-27 03:51:18+00:00
680940246314430465,3103,1009,8877507,145871,2015-12-27 02:36:20+00:00
680934982542561280,2036,419,8877507,145871,2015-12-27 02:15:25+00:00
680913438424612864,2342,600,8877507,145871,2015-12-27 00:49:49+00:00
680889648562991104,1711,354,8877507,145871,2015-12-26 23:15:17+00:00
680836378243002368,3361,1275,8877507,145871,2015-12-26 19:43:36+00:00
680805554198020098,2091,646,8877507,145871,2015-12-26 17:41:07+00:00
680801747103793152,2317,796,8877507,145871,2015-12-26 17:25:59+00:00
680798457301471234,2763,999,8877507,145871,2015-12-26 17:12:55+00:00
680609293079592961,2554,672,8877507,145871,2015-12-26 04:41:15+00:00
680583894916304897,3519,1281,8877507,145871,2015-12-26 03:00:19+00:00
680497766108381184,4126,1845,8877507,145871,2015-12-25 21:18:05+00:00
680494726643068929,1673,470,8877507,145871,2015-12-25 21:06:00+00:00
680473011644985345,2477,726,8877507,145871,2015-12-25 19:39:43+00:00
680440374763077632,1412,484,8877507,145871,2015-12-25 17:30:01+00:00
680221482581123072,1428,285,8877507,145871,2015-12-25 03:00:14+00:00
680206703334408192,2749,1124,8877507,145871,2015-12-25 02:01:30+00:00
680191257256136705,2086,481,8877507,145871,2015-12-25 01:00:07+00:00
680176173301628928,3788,1492,8877507,145871,2015-12-25 00:00:11+00:00
680161097740095489,2259,712,8877507,145871,2015-12-24 23:00:17+00:00
680145970311643136,3502,1689,8877507,145871,2015-12-24 22:00:10+00:00
680130881361686529,2226,908,8877507,145871,2015-12-24 21:00:12+00:00
680115823365742593,2650,871,8877507,145871,2015-12-24 20:00:22+00:00
680100725817409536,3479,1323,8877507,145871,2015-12-24 19:00:23+00:00
680085611152338944,12452,8690,8877507,145871,2015-12-24 18:00:19+00:00
680070545539371008,2511,829,8877507,145871,2015-12-24 17:00:27+00:00
679877062409191424,1929,629,8877507,145871,2015-12-24 04:11:37+00:00
679872969355714560,2135,644,8877507,145871,2015-12-24 03:55:21+00:00
679862121895714818,2383,595,8877507,145871,2015-12-24 03:12:15+00:00
679854723806179328,2767,1183,8877508,145871,2015-12-24 02:42:51+00:00
679844490799091713,2295,734,8877508,145871,2015-12-24 02:02:12+00:00
679828447187857408,35181,13522,8877508,145871,2015-12-24 00:58:27+00:00
